,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
SR NO,MODEL NAME,Provider,Type,Duration (Seconds),Resolution (Upto),Aspect Ratio,PRICE TO PAY (per image),OVER CHARGE (per image),USER COST (per image),Credit per generation,Column 1,"PLAN A (12,360)","PLAN B (24,720)","PLAN C (61,800)","PLAN D (197,760)",FREE (2000),Max Amount
112,Veo 3.1,Fal,T2V,8,,,3.2,0.03,3.23,6460,,1.913312693,3.826625387,9.566563467,30.6130031,0.3095975232,
113,Veo 3.1,Fal,I2V/S2V,8,,,3.2,0.03,3.23,6460,,1.913312693,3.826625387,9.566563467,30.6130031,0.3095975232,
114,Veo 3.1 Fast,Fal,T2V,4,,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
115,Veo 3.1 Fast,Fal,T2V,6,,,0.9,0.03,0.93,1860,,6.64516129,13.29032258,33.22580645,106.3225806,1.075268817,
116,Veo 3.1 Fast,Fal,T2V,8,,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
117,Veo 3.1 Fast,Fal,I2V/S2V,8,,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
118,Sora 2,Fal,I2V/T2V/V2V,4,,,0.4,0.03,0.43,860,,14.37209302,28.74418605,71.86046512,229.9534884,2.325581395,
119,Sora 2,Fal,I2V/T2V/V2V,8,,,0.8,0.03,0.83,1660,,7.445783133,14.89156627,37.22891566,119.1325301,1.204819277,
120,Sora 2,Fal,I2V/T2V/V2V,12,,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
121,Sora 2 Pro,Fal,I2V/T2V,4,720p,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
122,Sora 2 Pro,Fal,I2V/T2V,8,720p,,2.4,0.03,2.43,4860,,2.543209877,5.086419753,12.71604938,40.69135802,0.4115226337,
123,Sora 2 Pro,Fal,I2V/T2V,12,720p,,3.6,0.03,3.63,7260,,1.702479339,3.404958678,8.512396694,27.23966942,0.2754820937,
124,Sora 2 Pro,Fal,I2V/T2V,4,1080p,,2,0.03,2.03,4060,,3.044334975,6.088669951,15.22167488,48.70935961,0.4926108374,
125,Sora 2 Pro,Fal,I2V/T2V,8,1080p,,4,0.03,4.03,8060,,1.533498759,3.066997519,7.667493797,24.53598015,0.2481389578,
126,Sora 2 Pro,Fal,I2V/T2V,12,1080p,,6,0.03,6.03,12060,,1.024875622,2.049751244,5.124378109,16.39800995,0.1658374793,
127,LTX V2 Pro,Fal,I2V/T2V,6,1080p,,0.36,0.03,0.39,780,,15.84615385,31.69230769,79.23076923,253.5384615,2.564102564,
128,LTX V2 Pro,Fal,I2V/T2V,8,1080p,,0.48,0.03,0.51,1020,,12.11764706,24.23529412,60.58823529,193.8823529,1.960784314,
129,LTX V2 Pro,Fal,I2V/T2V,10,1080p,,0.6,0.03,0.63,1260,,9.80952381,19.61904762,49.04761905,156.952381,1.587301587,
130,LTX V2 Pro,Fal,I2V/T2V,6,1440p,,0.72,0.03,0.75,1500,,8.24,16.48,41.2,131.84,1.333333333,
131,LTX V2 Pro,Fal,I2V/T2V,8,1440p,,0.96,0.03,0.99,1980,,6.242424242,12.48484848,31.21212121,99.87878788,1.01010101,
132,LTX V2 Pro,Fal,I2V/T2V,10,1440p,,1.2,0.03,1.23,2460,,5.024390244,10.04878049,25.12195122,80.3902439,0.8130081301,
133,LTX V2 Pro,Fal,I2V/T2V,6,2160p,,1.44,0.03,1.47,2940,,4.204081633,8.408163265,21.02040816,67.26530612,0.6802721088,
134,LTX V2 Pro,Fal,I2V/T2V,8,2160p,,1.92,0.03,1.95,3900,,3.169230769,6.338461538,15.84615385,50.70769231,0.5128205128,
135,LTX V2 Pro,Fal,I2V/T2V,10,2160p,,2.4,0.03,2.43,4860,,2.543209877,5.086419753,12.71604938,40.69135802,0.4115226337,
136,LTX V2 Fast,Fal,I2V/T2V,6,1080p,,0.24,0.03,0.27,540,,22.88888889,45.77777778,114.4444444,366.2222222,3.703703704,
